,Bin,Count,Count (%),Sum,Std,Mean,Min,Max,Zeros count,WoE,IV
0,"(-inf, -68.50)",35,0.19886363636363635,-2380.0,0.0,-68.0,-68.0,-68.0,0,-4.18181818181818,0.8316115702479334
1,"[-68.50, -67.50)",35,0.19886363636363635,-2277.0,0.3331972511327237,-65.05714285714286,-67.0,-65.0,0,-1.238961038961044,0.24638429752066213
2,"[-67.50, inf)",106,0.6022727272727273,-6575.0,0.8628337163505054,-62.028301886792455,-65.0,-61.0,0,1.7898799313893647,1.0779958677685948
3,Special,0,0.0,0.0,,0.0,,,0,63.81818181818182,0.0
4,Missing,0,0.0,0.0,,0.0,,,0,63.81818181818182,0.0
Totals,,176,1.0,-11232.0,,-63.81818181818182,-68.0,-61.0,0,,2.1559917355371905
