,average,std,count
1,-52.01111111,0.105409255,90
2,-52,0,94
3,-53.05154639,0.222258015,97
4,-54,0,91
5,-56,0,103
6,-61,0,98
7,,0,0
8,-64,0,103
9,-58.9673913,0.178583373,92
10,-57,0,90
11,-55.02409639,0.154280677,83
12,-55,0,107
13,-54,0,106
14,-54,0,88
15,-54,0,88
16,-54,0,71
