,average,std,count
1,-50.0,0.0,88.0
2,-50.0,0.0,51.0
3,-49.06315789473684,0.24453717969020558,95.0
4,-50.0125,0.2512626342940888,80.0
5,-48.0,0.0,57.0
6,-48.0,0.0,57.0
7,-45.016666666666666,0.12909944487358055,60.0
8,-60.416666666666664,0.8711287208139509,48.0
9,-56.1,0.4164965639175215,50.0
10,-52.94897959183673,0.41548503464288905,98.0
11,-51.97560975609756,0.2208630521496931,82.0
12,-51.04761904761905,0.21466939537054602,63.0
13,-58.05084745762712,0.4706462473267318,59.0
14,-51.06666666666667,0.25226248955475644,45.0
15,-50.16417910447761,0.37323381758230934,67.0
