,average,average 1m,std 1m,count 1m,average 2m,std 2m,count 2m,average 3m,std 3m,count 3m,average 4m,std 4m,count 4m,average 5m,std 5m,count 5m,average 6m,std 6m,count 6m,average 7m,std 7m,count 7m,average 8m,std 8m,count 8m
1,,-55.0,0.0,50.0,-56.0,0.0,50.0,-60.88,0.3282607226593159,50.0,-61.98,0.14142135623730953,50.0,,,,-59.22,0.4184519575964803,50.0,-60.0,0.0,50.0,-65.02,0.1414213562373095,50.0
2,,-55.0,0.0,50.0,-56.0,0.0,50.0,-60.0,0.0,50.0,-61.24,0.4314191105869,50.0,-61.0,0.0,50.0,-59.0,0.0,50.0,-60.0,0.0,50.0,-65.0,0.0,50.0
3,,-55.0,0.0,50.0,-56.0,0.0,50.0,-60.0,0.0,50.0,-61.0,0.0,50.0,-61.0,0.0,50.0,-59.42,0.4985693819032899,50.0,-60.0,0.0,50.0,-65.0,0.0,50.0
4,,-55.1,0.30304576336566325,50.0,-56.0,0.0,50.0,-61.0,0.0,50.0,-61.16,0.37032803990902063,50.0,-61.02,0.14142135623730953,50.0,-60.0,0.0,50.0,-61.0,0.0,50.0,-65.76,0.4314191105869,50.0
5,,-57.0,0.0,50.0,-58.0,0.0,50.0,-63.0,0.0,50.0,-63.0,0.0,50.0,-63.0,0.0,50.0,-60.26,0.4430874976934521,50.0,-62.0,0.0,50.0,-68.0,0.0,50.0
6,,-60.0,0.0,50.0,-62.0,0.0,50.0,-68.12,0.3282607226593159,50.0,-67.94,0.23989793748209523,50.0,-67.0,0.0,50.0,-62.0,0.0,50.0,-66.0,0.0,50.0,,,
9,,-58.0,0.0,50.0,-60.0,0.0,50.0,-67.0,0.0,50.0,-68.0,0.0,50.0,,,,,,,-68.0,0.0,50.0,,,
10,,-58.0,0.0,50.0,-58.0,0.0,50.0,-64.0,0.0,50.0,-65.0,0.0,50.0,-65.0,0.0,50.0,,,,-64.48,0.5046720495044484,50.0,,,
11,,-57.0,0.0,50.0,-57.0,0.0,50.0,-63.0,0.0,50.0,-63.0,0.0,50.0,-63.1,0.30304576336566325,50.0,-65.94,0.23989793748209523,50.0,-63.0,0.0,50.0,,,
12,,-56.0,0.0,50.0,-56.0,0.0,50.0,-62.0,0.0,50.0,-62.0,0.0,50.0,-63.0,0.0,50.0,-62.93478260869565,0.249637418228338,46.0,-62.0,0.0,50.0,-68.0,0.0,50.0
13,,-55.12,0.32826072265931594,50.0,-56.0,0.0,50.0,-61.88,0.328260722659316,50.0,-62.0,0.0,50.0,-62.0,0.0,50.0,-61.0,0.0,50.0,-61.0,0.0,50.0,-67.04,0.1979486637221574,50.0
14,,-55.0,0.0,50.0,-56.0,0.0,50.0,-61.0,0.0,50.0,-61.0,0.0,50.0,-62.0,0.0,50.0,-60.0,0.0,50.0,-61.0,0.0,50.0,-67.0,0.0,50.0
15,,-55.0,0.0,50.0,-55.98,0.14142135623730953,50.0,-61.0,0.0,50.0,-61.0,0.0,50.0,-61.3,0.4629100498862757,50.0,-60.0,0.0,50.0,-60.98,0.14142135623730953,50.0,-66.78,0.41845195759648035,50.0
16,,-55.0,0.0,50.0,-56.0,0.0,50.0,-66.0,0.0,50.0,-61.0,0.0,50.0,-62.0,0.0,50.0,-60.0,0.0,50.0,,,,-66.14,0.35050983275386566,50.0
8,,,,,-67.84,0.37032803990902063,50.0,,,,,,,,,,-65.0,0.0,50.0,,,,,,
7,,,,,,,,,,,,,,,,,-64.0,0.0,50.0,,,,,,
