,Bin,Count,Count (%),Sum,Std,Mean,Min,Max,Zeros count,WoE,IV
0,"(-inf, -66.00)",35,0.1,-2374.0,0.3768830273806555,-67.82857142857142,-68.0,-67.0,0,-8.545714285714283,0.8545714285714283
1,"[-66.00, -60.00)",70,0.2,-4340.0,0.0,-62.0,-62.0,-62.0,0,-2.7171428571428606,0.5434285714285721
2,"[-60.00, inf)",245,0.7,-14035.0,1.3850513878332436,-57.285714285714285,-60.0,-56.0,0,1.9971428571428547,1.3979999999999981
3,Special,0,0.0,0.0,,0.0,,,0,59.28285714285714,0.0
4,Missing,0,0.0,0.0,,0.0,,,0,59.28285714285714,0.0
Totals,,350,1.0,-20749.0,,-59.28285714285714,-68.0,-56.0,0,,2.7959999999999985
