,Bin,Count,Count (%),Sum,Std,Mean,Min,Max,Zeros count,WoE,IV
0,"(-inf, inf)",350,1.0,-20749.0,3.5956311358795365,-59.28285714285714,-68.0,-56.0,0,0.0,0.0
1,Special,0,0.0,0.0,,0.0,,,0,59.28285714285714,0.0
2,Missing,0,0.0,0.0,,0.0,,,0,59.28285714285714,0.0
Totals,,350,1.0,-20749.0,,-59.28285714285714,-68.0,-56.0,0,,0.0
