,average,average 1m,std 1m,count 1m,average 2m,std 2m,count 2m,average 3m,std 3m,count 3m,average 6m,std 6m,count 6m,average 7m,std 7m,count 7m,average 8m,std 8m,count 8m
1,,-55.0,0.0,20.0,-56.0,0.0,20.0,-60.7,0.4701623459816272,20.0,-59.0,0.0,20.0,-60.0,0.0,20.0,-65.0,0.0,20.0
2,,-55.0,0.0,20.0,-56.0,0.0,20.0,-60.0,0.0,20.0,-59.0,0.0,20.0,-60.0,0.0,20.0,-65.0,0.0,20.0
3,,-55.0,0.0,20.0,-56.0,0.0,20.0,-60.0,0.0,20.0,-59.4,0.5026246899500346,20.0,-60.0,0.0,20.0,-65.0,0.0,20.0
4,,-55.0,0.0,20.0,-56.0,0.0,20.0,-61.0,0.0,20.0,-60.0,0.0,20.0,-61.0,0.0,20.0,-65.6,0.5026246899500346,20.0
5,,-57.0,0.0,20.0,-58.0,0.0,20.0,-63.0,0.0,20.0,-60.15,0.3663475485325232,20.0,-62.0,0.0,20.0,-68.0,0.0,20.0
6,,-60.0,0.0,20.0,-62.0,0.0,20.0,-68.2,0.4103913408340616,20.0,-62.0,0.0,20.0,-66.0,0.0,20.0,,,
9,,-58.0,0.0,20.0,-60.0,0.0,20.0,-67.0,0.0,20.0,,,,-68.0,0.0,20.0,,,
10,,-58.0,0.0,20.0,-58.0,0.0,20.0,-64.0,0.0,20.0,,,,-64.4,0.5026246899500346,20.0,,,
11,,-57.0,0.0,20.0,-57.0,0.0,20.0,-63.0,0.0,20.0,-65.9,0.30779350562554625,20.0,-63.0,0.0,20.0,,,
12,,-56.0,0.0,20.0,-56.0,0.0,20.0,-62.0,0.0,20.0,-62.85,0.3663475485325232,20.0,-62.0,0.0,20.0,-68.0,0.0,20.0
13,,-55.05,0.22360679774997896,20.0,-56.0,0.0,20.0,-61.7,0.4701623459816272,20.0,-61.0,0.0,20.0,-61.0,0.0,20.0,-67.0,0.0,20.0
14,,-55.0,0.0,20.0,-56.0,0.0,20.0,-61.0,0.0,20.0,-60.0,0.0,20.0,-61.0,0.0,20.0,-67.0,0.0,20.0
15,,-55.0,0.0,20.0,-55.95,0.22360679774997896,20.0,-61.0,0.0,20.0,-60.0,0.0,20.0,-60.95,0.22360679774997896,20.0,-66.65,0.4893604849295929,20.0
16,,-55.0,0.0,20.0,-56.0,0.0,20.0,-66.0,0.0,20.0,-60.0,0.0,20.0,,,,-66.1,0.30779350562554625,20.0
8,,,,,-67.7,0.4701623459816272,20.0,,,,-65.0,0.0,20.0,,,,,,
7,,,,,,,,,,,-64.0,0.0,20.0,,,,,,
