,average,average 1m,std 1m,count 1m,average 2m,std 2m,count 2m,average 3m,std 3m,count 3m,average 6m,std 6m,count 6m,average 7m,std 7m,count 7m,average 8m,std 8m,count 8m
1,,-55.0,0.0,10.0,-56.0,0.0,10.0,-60.7,0.4830458915396479,10.0,-59.0,0.0,10.0,-60.0,0.0,10.0,-65.0,0.0,10.0
2,,-55.0,0.0,10.0,-56.0,0.0,10.0,-60.0,0.0,10.0,-59.0,0.0,10.0,-60.0,0.0,10.0,-65.0,0.0,10.0
3,,-55.0,0.0,10.0,-56.0,0.0,10.0,-60.0,0.0,10.0,-59.4,0.5163977794943222,10.0,-60.0,0.0,10.0,-65.0,0.0,10.0
4,,-55.0,0.0,10.0,-56.0,0.0,10.0,-61.0,0.0,10.0,-60.0,0.0,10.0,-61.0,0.0,10.0,-65.4,0.5163977794943222,10.0
5,,-57.0,0.0,10.0,-58.0,0.0,10.0,-63.0,0.0,10.0,-60.1,0.3162277660168379,10.0,-62.0,0.0,10.0,-68.0,0.0,10.0
6,,-60.0,0.0,10.0,-62.0,0.0,10.0,-68.0,0.0,10.0,-62.0,0.0,10.0,-66.0,0.0,10.0,,,
9,,-58.0,0.0,10.0,-60.0,0.0,10.0,-67.0,0.0,10.0,,,,-68.0,0.0,10.0,,,
10,,-58.0,0.0,10.0,-58.0,0.0,10.0,-64.0,0.0,10.0,,,,-64.4,0.5163977794943222,10.0,,,
11,,-57.0,0.0,10.0,-57.0,0.0,10.0,-63.0,0.0,10.0,-65.8,0.4216370213557839,10.0,-63.0,0.0,10.0,,,
12,,-56.0,0.0,10.0,-56.0,0.0,10.0,-62.0,0.0,10.0,-62.8,0.4216370213557839,10.0,-62.0,0.0,10.0,-68.0,0.0,10.0
13,,-55.0,0.0,10.0,-56.0,0.0,10.0,-61.5,0.5270462766947299,10.0,-61.0,0.0,10.0,-61.0,0.0,10.0,-67.0,0.0,10.0
14,,-55.0,0.0,10.0,-56.0,0.0,10.0,-61.0,0.0,10.0,-60.0,0.0,10.0,-61.0,0.0,10.0,-67.0,0.0,10.0
15,,-55.0,0.0,10.0,-55.9,0.3162277660168379,10.0,-61.0,0.0,10.0,-60.0,0.0,10.0,-60.9,0.3162277660168379,10.0,-66.5,0.5270462766947299,10.0
16,,-55.0,0.0,10.0,-56.0,0.0,10.0,-66.0,0.0,10.0,-60.0,0.0,10.0,,,,-66.0,0.0,10.0
8,,,,,-67.6,0.5163977794943222,10.0,,,,-65.0,0.0,10.0,,,,,,
7,,,,,,,,,,,-64.0,0.0,10.0,,,,,,
