,average,average 1m,std 1m,count 1m,average 2m,std 2m,count 2m,average 3m,std 3m,count 3m,average 6m,std 6m,count 6m,average 7m,std 7m,count 7m,average 8m,std 8m,count 8m
1,,-55.0,0.0,30.0,-56.0,0.0,30.0,-60.8,0.40683810217248617,30.0,-59.1,0.30512857662936466,30.0,-60.0,0.0,30.0,-65.0,0.0,30.0
2,,-55.0,0.0,30.0,-56.0,0.0,30.0,-60.0,0.0,30.0,-59.0,0.0,30.0,-60.0,0.0,30.0,-65.0,0.0,30.0
3,,-55.0,0.0,30.0,-56.0,0.0,30.0,-60.0,0.0,30.0,-59.46666666666667,0.507416263404925,30.0,-60.0,0.0,30.0,-65.0,0.0,30.0
4,,-55.03333333333333,0.18257418583505536,30.0,-56.0,0.0,30.0,-61.0,0.0,30.0,-60.0,0.0,30.0,-61.0,0.0,30.0,-65.66666666666667,0.47946330148538413,30.0
5,,-57.0,0.0,30.0,-58.0,0.0,30.0,-63.0,0.0,30.0,-60.13333333333333,0.3457459036417604,30.0,-62.0,0.0,30.0,-68.0,0.0,30.0
6,,-60.0,0.0,30.0,-62.0,0.0,30.0,-68.13333333333334,0.34574590364176044,30.0,-62.0,0.0,30.0,-66.0,0.0,30.0,,,
9,,-58.0,0.0,30.0,-60.0,0.0,30.0,-67.0,0.0,30.0,,,,-68.0,0.0,30.0,,,
10,,-58.0,0.0,30.0,-58.0,0.0,30.0,-64.0,0.0,30.0,,,,-64.36666666666666,0.49013251785356104,30.0,,,
11,,-57.0,0.0,30.0,-57.0,0.0,30.0,-63.0,0.0,30.0,-65.93333333333334,0.2537081317024625,30.0,-63.0,0.0,30.0,,,
12,,-56.0,0.0,30.0,-56.0,0.0,30.0,-62.0,0.0,30.0,-62.9,0.30512857662936466,30.0,-62.0,0.0,30.0,-68.0,0.0,30.0
13,,-55.1,0.30512857662936466,30.0,-56.0,0.0,30.0,-61.8,0.40683810217248617,30.0,-61.0,0.0,30.0,-61.0,0.0,30.0,-67.0,0.0,30.0
14,,-55.0,0.0,30.0,-56.0,0.0,30.0,-61.0,0.0,30.0,-60.0,0.0,30.0,-61.0,0.0,30.0,-67.0,0.0,30.0
15,,-55.0,0.0,30.0,-55.96666666666667,0.18257418583505536,30.0,-61.0,0.0,30.0,-60.0,0.0,30.0,-60.96666666666667,0.18257418583505536,30.0,-66.66666666666667,0.47946330148538413,30.0
16,,-55.0,0.0,30.0,-56.0,0.0,30.0,-66.0,0.0,30.0,-60.0,0.0,30.0,,,,-66.1,0.30512857662936466,30.0
8,,,,,-67.8,0.40683810217248617,30.0,,,,-65.0,0.0,30.0,,,,,,
7,,,,,,,,,,,-64.0,0.0,30.0,,,,,,
