,average,average 1m,std 1m,count 1m,average 2m,std 2m,count 2m,average 3m,std 3m,count 3m,average 6m,std 6m,count 6m,average 7m,std 7m,count 7m,average 8m,std 8m,count 8m
1,,-55.0,0.0,40.0,-56.0,0.0,40.0,-60.85,0.3616202853397894,40.0,-59.225,0.42290206176626033,40.0,-60.0,0.0,40.0,-65.025,0.15811388300841897,40.0
2,,-55.0,0.0,40.0,-56.0,0.0,40.0,-60.0,0.0,40.0,-59.0,0.0,40.0,-60.0,0.0,40.0,-65.0,0.0,40.0
3,,-55.0,0.0,40.0,-56.0,0.0,40.0,-60.0,0.0,40.0,-59.425,0.5006406152531231,40.0,-60.0,0.0,40.0,-65.0,0.0,40.0
4,,-55.1,0.30382181012509996,40.0,-56.0,0.0,40.0,-61.0,0.0,40.0,-60.0,0.0,40.0,-61.0,0.0,40.0,-65.725,0.45220258677630265,40.0
5,,-57.0,0.0,40.0,-58.0,0.0,40.0,-63.0,0.0,40.0,-60.2,0.40509574683346666,40.0,-62.0,0.0,40.0,-68.0,0.0,40.0
6,,-60.0,0.0,40.0,-62.0,0.0,40.0,-68.125,0.3349320635285418,40.0,-62.0,0.0,40.0,-66.0,0.0,40.0,,,
9,,-58.0,0.0,40.0,-60.0,0.0,40.0,-67.0,0.0,40.0,,,,-68.0,0.0,40.0,,,
10,,-58.0,0.0,40.0,-58.0,0.0,40.0,-64.0,0.0,40.0,,,,-64.425,0.5006406152531231,40.0,,,
11,,-57.0,0.0,40.0,-57.0,0.0,40.0,-63.0,0.0,40.0,-65.925,0.2667467828369185,40.0,-63.0,0.0,40.0,,,
12,,-56.0,0.0,40.0,-56.0,0.0,40.0,-62.0,0.0,40.0,-62.925,0.2667467828369185,40.0,-62.0,0.0,40.0,-68.0,0.0,40.0
13,,-55.075,0.2667467828369185,40.0,-56.0,0.0,40.0,-61.85,0.3616202853397894,40.0,-61.0,0.0,40.0,-61.0,0.0,40.0,-67.0,0.0,40.0
14,,-55.0,0.0,40.0,-56.0,0.0,40.0,-61.0,0.0,40.0,-60.0,0.0,40.0,-61.0,0.0,40.0,-67.0,0.0,40.0
15,,-55.0,0.0,40.0,-55.975,0.15811388300841894,40.0,-61.0,0.0,40.0,-60.0,0.0,40.0,-60.975,0.15811388300841894,40.0,-66.725,0.45220258677630265,40.0
16,,-55.0,0.0,40.0,-56.0,0.0,40.0,-66.0,0.0,40.0,-60.0,0.0,40.0,,,,-66.125,0.3349320635285418,40.0
8,,,,,-67.85,0.3616202853397895,40.0,,,,-65.0,0.0,40.0,,,,,,
7,,,,,,,,,,,-64.0,0.0,40.0,,,,,,
